time_step,sector_id,row,col,x,y,true_status,label,treatment_timer,wind_speed,wind_direction,humidity,season_multiplier,neighbors
1,99,9,9,9.0,9.0,0,healthy,0,7.28,43.91,60.39,0.822,"88,89,98"
2,0,0,0,0.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"1,10,11"
2,1,0,1,1.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"0,2,10,11,12"
2,2,0,2,2.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"1,3,11,12,13"
2,3,0,3,3.0,0.0,1,infected,7,7.37,55.17,60.77,0.844,"2,4,12,13,14"
2,4,0,4,4.0,0.0,1,infected,7,7.37,55.17,60.77,0.844,"3,5,13,14,15"
2,5,0,5,5.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"4,6,14,15,16"
2,6,0,6,6.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"5,7,15,16,17"
2,7,0,7,7.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"6,8,16,17,18"
2,8,0,8,8.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"7,9,17,18,19"
2,9,0,9,9.0,0.0,0,healthy,0,7.37,55.17,60.77,0.844,"8,18,19"
2,10,1,0,0.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"0,1,11,20,21"
2,11,1,1,1.0,1.0,1,infected,7,7.37,55.17,60.77,0.844,"0,1,2,10,12,20,21,22"
2,12,1,2,2.0,1.0,1,infected,6,7.37,55.17,60.77,0.844,"1,2,3,11,13,21,22,23"
2,13,1,3,3.0,1.0,1,infected,6,7.37,55.17,60.77,0.844,"2,3,4,12,14,22,23,24"
2,14,1,4,4.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"3,4,5,13,15,23,24,25"
2,15,1,5,5.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"4,5,6,14,16,24,25,26"
2,16,1,6,6.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"5,6,7,15,17,25,26,27"
2,17,1,7,7.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"6,7,8,16,18,26,27,28"
2,18,1,8,8.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"7,8,9,17,19,27,28,29"
2,19,1,9,9.0,1.0,0,healthy,0,7.37,55.17,60.77,0.844,"8,9,18,28,29"
2,20,2,0,0.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"10,11,21,30,31"
2,21,2,1,1.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"10,11,12,20,22,30,31,32"
2,22,2,2,2.0,2.0,1,infected,5,7.37,55.17,60.77,0.844,"11,12,13,21,23,31,32,33"
2,23,2,3,3.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"12,13,14,22,24,32,33,34"
2,24,2,4,4.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"13,14,15,23,25,33,34,35"
2,25,2,5,5.0,2.0,0,healthy,0,7.37,55.17,60.77,0.844,"14,15,16,24,26,34,35,36"
